,MSE,R2_oos,Sharpe (annual),Volatility (annual),Cumulative return,Max drawdown,Average monthly ret
PCR,0.02073426,-0.0024,-0.065,0.3003,-0.842,-0.894,-0.00164
PLS,0.02097994,-0.0143,-0.02,0.18,-0.43,-0.623,-0.00031
