,MSE,R2_oos,Sharpe (annual),Volatility (annual),Cumulative return,Max drawdown,Average monthly ret
RF,0.02231895,-0.079,-0.191,0.2653,-0.835,-0.847,-0.00422
Bagging,0.02207372,-0.0671,-0.111,0.2243,-0.447,-0.615,-0.00207
Boosting,0.02225259,-0.0758,0.105,0.2397,-0.059,-0.641,0.0021
